datetime,open,high,low,close,volume
2026-05-10 12:00:00,2320.0,2321.6,2316.46,2320.0,9433
2026-05-10 13:00:00,2320.0,2325.45,2316.32,2323.81,7356
2026-05-10 14:00:00,2323.81,2328.98,2321.19,2322.78,7268
2026-05-10 15:00:00,2322.78,2339.01,2322.5,2327.75,5255
2026-05-10 16:00:00,2327.75,2341.31,2327.52,2339.47,8806
2026-05-10 17:00:00,2339.47,2340.05,2330.31,2337.68,7464
2026-05-10 18:00:00,2337.68,2340.24,2334.85,2335.9,3166
2026-05-10 19:00:00,2335.9,2344.78,2335.64,2341.25,5844
2026-05-10 20:00:00,2341.25,2351.53,2337.71,2343.87,4565
2026-05-10 21:00:00,2343.87,2348.14,2340.57,2342.31,5141
2026-05-10 22:00:00,2342.31,2344.87,2335.04,2344.17,4575
2026-05-10 23:00:00,2344.17,2345.49,2341.05,2342.64,2759
2026-05-11 00:00:00,2342.64,2344.17,2340.06,2341.09,3720
2026-05-11 01:00:00,2341.09,2356.84,2333.98,2341.94,3918
2026-05-11 02:00:00,2341.94,2345.89,2331.0,2335.52,4338
2026-05-11 03:00:00,2335.52,2336.01,2323.58,2329.76,4296
2026-05-11 04:00:00,2329.76,2332.05,2326.14,2327.9,2286
2026-05-11 05:00:00,2327.9,2328.39,2323.78,2324.53,4867
2026-05-11 06:00:00,2324.53,2328.54,2323.81,2325.61,6435
2026-05-11 07:00:00,2325.61,2326.96,2322.01,2322.6,3947
2026-05-11 08:00:00,2322.6,2324.04,2302.69,2311.85,10183
2026-05-11 09:00:00,2311.85,2326.74,2311.4,2323.05,7475
2026-05-11 10:00:00,2323.05,2323.3,2315.88,2321.34,13206
2026-05-11 11:00:00,2321.34,2326.14,2316.8,2321.87,11184
2026-05-11 12:00:00,2321.87,2322.08,2308.99,2311.03,12449
2026-05-11 13:00:00,2311.03,2313.81,2303.59,2306.91,11987
2026-05-11 14:00:00,2306.91,2323.47,2298.53,2307.77,8727
2026-05-11 15:00:00,2307.77,2307.9,2297.38,2299.06,8124
2026-05-11 16:00:00,2299.06,2302.76,2298.63,2301.92,3335
2026-05-11 17:00:00,2301.92,2302.11,2286.24,2297.39,9948
2026-05-11 18:00:00,2297.39,2297.84,2292.38,2295.21,6493
2026-05-11 19:00:00,2295.21,2299.78,2289.35,2293.25,2766
2026-05-11 20:00:00,2293.25,2303.75,2292.99,2299.4,1978
2026-05-11 21:00:00,2299.4,2300.76,2295.36,2299.38,5796
2026-05-11 22:00:00,2299.38,2301.76,2294.34,2295.91,5477
2026-05-11 23:00:00,2295.91,2304.7,2295.45,2298.66,5044
2026-05-12 00:00:00,2298.66,2298.78,2294.05,2294.65,5774
2026-05-12 01:00:00,2294.65,2302.87,2293.63,2295.37,6048
2026-05-12 02:00:00,2295.37,2295.82,2282.47,2288.93,1985
2026-05-12 03:00:00,2288.93,2289.4,2282.68,2284.58,5588
2026-05-12 04:00:00,2284.58,2286.19,2284.01,2285.26,6173
2026-05-12 05:00:00,2285.26,2291.79,2281.28,2287.72,1837
2026-05-12 06:00:00,2287.72,2288.59,2280.55,2288.31,2360
2026-05-12 07:00:00,2288.31,2297.51,2275.27,2287.96,3503
2026-05-12 08:00:00,2287.96,2295.2,2272.07,2285.71,6536
2026-05-12 09:00:00,2285.71,2286.12,2270.72,2274.63,7792
2026-05-12 10:00:00,2274.63,2276.79,2268.82,2269.26,10841
2026-05-12 11:00:00,2269.26,2269.56,2265.21,2265.84,10164
2026-05-12 12:00:00,2265.84,2276.45,2265.6,2273.76,6641
2026-05-12 13:00:00,2273.76,2279.02,2272.96,2276.35,4842
2026-05-12 14:00:00,2276.35,2276.66,2261.21,2263.19,12953
2026-05-12 15:00:00,2263.19,2271.13,2260.95,2265.63,12177
2026-05-12 16:00:00,2265.63,2267.06,2260.84,2262.77,11536
2026-05-12 17:00:00,2262.77,2263.12,2257.39,2257.76,5880
2026-05-12 18:00:00,2257.76,2271.2,2257.52,2262.32,3105
2026-05-12 19:00:00,2262.32,2269.02,2261.98,2265.71,3379
2026-05-12 20:00:00,2265.71,2274.33,2265.5,2268.78,4893
2026-05-12 21:00:00,2268.78,2269.05,2263.82,2266.07,3624
2026-05-12 22:00:00,2266.07,2273.59,2258.26,2265.09,6491
2026-05-12 23:00:00,2265.09,2271.83,2262.4,2266.2,6142
2026-05-13 00:00:00,2266.2,2270.03,2265.45,2269.41,2946
2026-05-13 01:00:00,2269.41,2269.81,2265.15,2267.87,4806
2026-05-13 02:00:00,2267.87,2269.38,2266.94,2267.29,4901
2026-05-13 03:00:00,2267.29,2268.13,2259.85,2263.71,5283
2026-05-13 04:00:00,2263.71,2264.07,2255.56,2259.84,3872
2026-05-13 05:00:00,2259.84,2267.6,2251.56,2262.52,1650
2026-05-13 06:00:00,2262.52,2277.89,2262.08,2266.97,3159
2026-05-13 07:00:00,2266.97,2268.87,2264.56,2266.76,2378
2026-05-13 08:00:00,2266.76,2277.56,2266.3,2274.28,8401
2026-05-13 09:00:00,2274.28,2277.77,2274.01,2277.0,9642
2026-05-13 10:00:00,2277.0,2277.18,2269.37,2272.19,12089
2026-05-13 11:00:00,2272.19,2280.03,2271.75,2274.91,8613
2026-05-13 12:00:00,2274.91,2288.26,2274.68,2286.48,6633
2026-05-13 13:00:00,2286.48,2286.99,2285.18,2286.23,10751
2026-05-13 14:00:00,2286.23,2302.07,2286.04,2298.05,4595
2026-05-13 15:00:00,2298.05,2298.34,2278.04,2278.34,4591
2026-05-13 16:00:00,2278.34,2285.14,2278.07,2284.53,9061
2026-05-13 17:00:00,2284.53,2287.78,2282.09,2285.2,5929
2026-05-13 18:00:00,2285.2,2286.72,2275.59,2282.97,5853
2026-05-13 19:00:00,2282.97,2289.13,2281.63,2283.3,3826
2026-05-13 20:00:00,2283.3,2283.69,2266.16,2276.8,4105
2026-05-13 21:00:00,2276.8,2279.2,2275.12,2276.11,4038
2026-05-13 22:00:00,2276.11,2279.22,2270.64,2277.31,2065
2026-05-13 23:00:00,2277.31,2292.94,2276.63,2282.19,3256
2026-05-14 00:00:00,2282.19,2294.04,2263.43,2280.51,5575
2026-05-14 01:00:00,2280.51,2280.67,2273.05,2277.88,2860
2026-05-14 02:00:00,2277.88,2284.65,2274.11,2276.27,4068
2026-05-14 03:00:00,2276.27,2281.73,2270.82,2279.3,3873
2026-05-14 04:00:00,2279.3,2281.55,2277.07,2280.41,2695
2026-05-14 05:00:00,2280.41,2288.04,2273.61,2278.69,3631
2026-05-14 06:00:00,2278.69,2287.47,2276.13,2280.41,4388
2026-05-14 07:00:00,2280.41,2285.73,2275.17,2280.75,3067
2026-05-14 08:00:00,2280.75,2297.43,2280.3,2288.05,10802
2026-05-14 09:00:00,2288.05,2288.26,2275.5,2282.79,8507
2026-05-14 10:00:00,2282.79,2283.2,2279.98,2280.35,10654
2026-05-14 11:00:00,2280.35,2285.15,2271.12,2277.42,10113
2026-05-14 12:00:00,2277.42,2277.67,2257.57,2266.5,6072
2026-05-14 13:00:00,2266.5,2269.27,2263.12,2268.72,6232
2026-05-14 14:00:00,2268.72,2274.04,2260.28,2270.69,12821
2026-05-14 15:00:00,2270.69,2275.93,2268.57,2270.75,13516
2026-05-14 16:00:00,2270.75,2275.05,2260.36,2269.01,10639
2026-05-14 17:00:00,2269.01,2269.19,2254.47,2258.48,10084
2026-05-14 18:00:00,2258.48,2258.83,2252.53,2255.38,4887
2026-05-14 19:00:00,2255.38,2255.96,2251.02,2254.29,6213
2026-05-14 20:00:00,2254.29,2254.67,2244.15,2251.72,3931
2026-05-14 21:00:00,2251.72,2252.84,2245.99,2251.22,2516
2026-05-14 22:00:00,2251.22,2253.64,2249.11,2252.56,2141
2026-05-14 23:00:00,2252.56,2265.33,2252.32,2258.71,5562
2026-05-15 00:00:00,2258.71,2260.71,2255.15,2259.31,1815
2026-05-15 01:00:00,2259.31,2262.02,2257.36,2260.17,3803
2026-05-15 02:00:00,2260.17,2261.3,2258.28,2259.96,1940
2026-05-15 03:00:00,2259.96,2260.21,2249.66,2253.75,2638
2026-05-15 04:00:00,2253.75,2266.58,2248.82,2253.69,2414
2026-05-15 05:00:00,2253.69,2255.11,2252.86,2253.91,3803
2026-05-15 06:00:00,2253.91,2262.27,2251.56,2261.95,5642
2026-05-15 07:00:00,2261.95,2263.82,2251.6,2261.35,4921
2026-05-15 08:00:00,2261.35,2270.51,2255.13,2263.62,7871
2026-05-15 09:00:00,2263.62,2276.9,2260.87,2263.38,12430
2026-05-15 10:00:00,2263.38,2263.53,2254.14,2254.7,8140
2026-05-15 11:00:00,2254.7,2263.95,2254.3,2263.22,13312
2026-05-15 12:00:00,2263.22,2269.39,2259.5,2268.85,3377
2026-05-15 13:00:00,2268.85,2283.95,2266.85,2274.78,5097
2026-05-15 14:00:00,2274.78,2274.95,2261.91,2268.0,7581
2026-05-15 15:00:00,2268.0,2279.01,2267.59,2278.51,12003
2026-05-15 16:00:00,2278.51,2278.77,2261.99,2268.04,12872
2026-05-15 17:00:00,2268.04,2277.04,2267.93,2272.44,8195
2026-05-15 18:00:00,2272.44,2291.69,2272.3,2288.91,4825
2026-05-15 19:00:00,2288.91,2289.32,2281.74,2285.67,2007
2026-05-15 20:00:00,2285.67,2291.88,2276.01,2283.83,5245
2026-05-15 21:00:00,2283.83,2285.93,2283.57,2284.19,5616
2026-05-15 22:00:00,2284.19,2295.15,2279.15,2282.56,5377
2026-05-15 23:00:00,2282.56,2282.99,2273.63,2277.5,6314
2026-05-16 00:00:00,2277.5,2283.07,2274.54,2277.75,1959
2026-05-16 01:00:00,2277.75,2277.9,2271.16,2274.3,2905
2026-05-16 02:00:00,2274.3,2279.09,2269.9,2275.88,5595
2026-05-16 03:00:00,2275.88,2280.38,2267.12,2272.89,3536
2026-05-16 04:00:00,2272.89,2283.52,2272.56,2278.0,4177
2026-05-16 05:00:00,2278.0,2279.2,2263.5,2275.46,3244
2026-05-16 06:00:00,2275.46,2278.26,2271.17,2274.43,4483
2026-05-16 07:00:00,2274.43,2278.56,2263.0,2277.13,3858
2026-05-16 08:00:00,2277.13,2277.39,2267.09,2267.94,6008
2026-05-16 09:00:00,2267.94,2272.15,2263.25,2269.65,5889
2026-05-16 10:00:00,2269.65,2282.17,2269.5,2279.46,4974
2026-05-16 11:00:00,2279.46,2279.93,2264.51,2267.44,13811
2026-05-16 12:00:00,2267.44,2284.26,2263.56,2268.84,8478
2026-05-16 13:00:00,2268.84,2272.44,2267.25,2270.8,13670
2026-05-16 14:00:00,2270.8,2277.37,2270.6,2276.67,11497
2026-05-16 15:00:00,2276.67,2277.14,2266.98,2267.44,6694
2026-05-16 16:00:00,2267.44,2267.77,2255.91,2257.62,11389
2026-05-16 17:00:00,2257.62,2266.44,2257.15,2261.52,7552
2026-05-16 18:00:00,2261.52,2266.25,2259.87,2263.75,4668
2026-05-16 19:00:00,2263.75,2268.38,2262.91,2264.59,5061
2026-05-16 20:00:00,2264.59,2271.5,2264.49,2265.75,5602
2026-05-16 21:00:00,2265.75,2267.31,2256.45,2263.56,5357
2026-05-16 22:00:00,2263.56,2269.5,2254.43,2264.35,5517
2026-05-16 23:00:00,2264.35,2271.54,2262.05,2265.33,5944
2026-05-17 00:00:00,2265.33,2267.28,2259.88,2263.03,4464
2026-05-17 01:00:00,2263.03,2271.15,2262.75,2269.14,2530
2026-05-17 02:00:00,2269.14,2274.66,2268.82,2270.72,4047
2026-05-17 03:00:00,2270.72,2270.86,2264.14,2266.86,4022
2026-05-17 04:00:00,2266.86,2270.72,2266.38,2269.03,6119
