datetime,open,high,low,close,volume,sma_20,ema_50,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_width,atr_14,return_1,return_3,return_5,volatility_10,volatility_20,hour,day_of_week,month,is_london_ny_overlap,future_close_1,future_return_1,trend_direction
2026-05-11 08:00:00,2322.6,2324.04,2302.69,2311.85,10183,2333.1215,2326.754701900706,44.28453300282453,-0.9567686561708797,2.2085070099317656,-3.1652756661026453,2351.753697683749,2314.4893023162513,0.01597190517831851,10.045714285714277,-0.004628433651941766,-0.0054548661449842495,-0.007687487123137271,0.0015427689598966835,0.0020722879279377925,8,0,5,0,2323.05,0.004844604970045753,1
2026-05-11 09:00:00,2311.85,2326.74,2311.4,2323.05,7475,2333.0835,2326.6094194732273,54.60992490891296,-1.2683441615868105,1.5131367756280505,-2.781480937214861,2351.7985738851416,2314.3684261148587,0.016043209670927476,10.488571428571374,0.004844604970045685,-0.0011007864603265194,-0.002083422827441006,0.0025096512336871242,0.0023279473748330976,9,0,5,0,2321.34,-0.0007361012462065114,0
2026-05-11 10:00:00,2323.05,2323.3,2315.88,2321.34,13206,2333.0114999999996,2326.4027755723164,52.99508622787842,-1.6344122166947272,0.883626977163495,-2.5180391938582223,2351.9037175845806,2314.1192824154186,0.016195563189105727,10.03142857142851,-0.0007361012462064886,-0.0005424954792042636,-0.0013723204260646105,0.00250918503228522,0.0023317089353083477,10,0,5,0,2321.87,0.00022831640345651448,1
2026-05-11 11:00:00,2321.34,2326.14,2316.8,2321.87,11184,2332.7174999999997,2326.2250196675195,53.454495492216374,-1.8603126904499732,0.3348390436408014,-2.1951517340907745,2352.130308441308,2313.3046915586915,0.016643942904622965,10.15785714285708,0.0002283164034564411,0.004334191232130191,-0.0016081802193833594,0.002502334236509716,0.002276690157813505,11,0,5,0,2311.03,-0.004668650699651441,0
2026-05-11 12:00:00,2321.87,2322.08,2308.99,2311.03,12449,2331.2955,2325.629136543303,43.98549627028583,-2.880829441221522,-0.3082946533316632,-2.572534787889859,2352.690930377831,2309.900069622169,0.018354970768682085,10.390714285714239,-0.004668650699651389,-0.0051742321516971,-0.004981486265392077,0.0027276317527729203,0.0021498440312496684,12,0,5,1,2306.91,-0.0017827548755318388,0
2026-05-11 13:00:00,2311.03,2313.81,2303.59,2306.91,11987,2329.757,2324.895052757291,41.01189776894247,-3.9762106056009543,-1.0418778437855214,-2.934332761815433,2353.5142469608304,2305.9997530391697,0.020394613653552128,10.803571428571397,-0.0017827548755318112,-0.006216237173356842,-0.002136816835002331,0.0026965924423207987,0.002165713128761291,13,0,5,1,2307.77,0.00037279304350847125,1
2026-05-11 14:00:00,2306.91,2323.47,2298.53,2307.77,8727,2328.3505,2324.223482060927,41.89492243811291,-4.720498291590047,-1.7776019333464266,-2.9428963582436207,2353.843777111716,2302.857222888284,0.021898143867699386,12.2914285714285,0.000372793043508457,-0.0060726914082183114,-0.00657755967370488,0.0027306649091131097,0.0021777356881211127,14,0,5,1,2299.06,-0.00377420626838898,0
2026-05-11 15:00:00,2307.77,2307.9,2297.38,2299.06,8124,2326.241,2323.2366788428512,36.014713430083816,-5.944649631990615,-2.6110114730752643,-3.3336381589153503,2354.1113599583955,2298.3706400416045,0.023961713303474845,11.40999999999992,-0.00377420626838898,-0.005179508703911373,-0.009597904658516287,0.002880829808556442,0.0021758264068552453,15,0,5,1,2301.92,0.0012439866728141621,1
2026-05-11 16:00:00,2299.06,2302.76,2298.63,2301.92,3335,2324.1434999999997,2322.4007306529356,39.040281224003905,-6.607849119404364,-3.4103790023410845,-3.197470117063279,2352.732547792541,2295.5544522074583,0.024601792266734066,10.641428571428508,0.0012439866728142235,-0.002163066612914988,-0.0085922123116281,0.002937763953410153,0.0021821178223163135,16,0,5,1,2297.39,-0.0019679224299715887,0
2026-05-11 17:00:00,2301.92,2302.11,2286.24,2297.39,9948,2321.8975,2321.419917686154,36.12642196167904,-7.413514254905749,-4.211006052854017,-3.2025082020517317,2351.5167418787805,2292.2782581212196,0.025512962461761733,10.887142857142797,-0.001967922429971569,-0.004497848572431407,-0.00590213021899344,0.0029524522722348926,0.002194142659583978,17,0,5,0,2295.21,-0.0009489028854481983,0
